Paper Number,biblography title,Bibliography Type,Query Number,Search It Title,Search It Type,Jaccard Score,Match,Notes
109,The Evolution of Human Trafficking Messaging in the United States and Its Effect on Public Opinion,Article,171,The evolution of human trafficking messaging in the United States and its effect on public opinion,article,0,Y,
109,The Evolution of Human Trafficking Messaging in the United States and Its Effect on Public Opinion,Article,173,The evolution of human trafficking messaging in the United States and its effect on public opinion,article,0,?,
137,Farmers' Prioritization of Climate-Smart Agriculture (CSA) Technologies,Article,137,Farmers' prioritization of climate-smart agriculture (CSA) technologies,article,0,Y,
139,"Transnational mobility, strong states and contested sovereignty: Learning from the China–Taiwan context",Article,139,"Transnational mobility, strong states and contested sovereignty: Learning from the China–Taiwan context",article,0,Y,
143,Globalization and inequality,Article,143,Globalization and inequality,article,0,Y,
49,The Ethics of Corporate Censorship of Information-Sharing Behavior: A Nonconsequentialist Perspective,Article,49,The Ethics of Corporate Censorship of Information-Sharing Behavior: A Nonconsequentialist Perspective,article,0,Y,
93,"Erika Mann, the BBC German Service, and Foreign-Language Broadcasting during WWII",Article,93,"Erika Mann, the BBC German Service, and Foreign-Language Broadcasting during WWII",article,0,Y,
185,Racial Rioting in the 1960S: An Event History Analysis of Local Conditions,Article,183,Racial Rioting in the 1960S: An Event History Analysis of Local Conditions,article,0,Y,
91,"THE HOLOCAUST AS A PARADIGM FOR THE CONGO ATROCITIES: ADAM HOCHSCHILD'S ""KING LEOPOLD'S GHOST",Article,21,"THE HOLOCAUST AS A PARADIGM FOR THE CONGO ATROCITIES: ADAM HOCHSCHILD'S ""KING LEOPOLD'S GHOST""",article,0.011363636,?,
99,"Causes, Consequences, and Impact of the Great Leap Forward in China",Article,99,"Causes, Consequences and Impact of the Great Leap Forward in China",article,0.194029851,Y,
209,The Kashmir Conflict,Article,13,The Kashmir Conflict Archive,article,0.363636364,N,
143,Globalization and inequality,Article,143,Globalisation and Inequality,article,0.482758621,Y,need to check why the Jaccard score is so out of whack here�
25,Climate Change and the Law,Article,165,Climate change and the developing world,article,0.527777778,N,
