Paper Number,biblography title,Bibliography Type,Query Number,Search It Title,Search It Type,Jaccard Score,Match,Notesa
14,Introduction to International Disaster Management,Ebook,14,Introduction to International Disaster Management,book,0,Y,
49,The Ethics of Corporate Censorship of Information-Sharing Behavior: A Nonconsequentialist Perspective,Article,49,The Ethics of Corporate Censorship of Information-Sharing Behavior: A Nonconsequentialist Perspective,article,0,Y,
109,The Evolution of Human Trafficking Messaging in the United States and Its Effect on Public Opinion,Article,171,The evolution of human trafficking messaging in the United States and its effect on public opinion,article,0,MM,
109,The Evolution of Human Trafficking Messaging in the United States and Its Effect on Public Opinion,Article,173,The evolution of human trafficking messaging in the United States and its effect on public opinion,article,0,MM,
137,Farmers' Prioritization of Climate-Smart Agriculture (CSA) Technologies,Article,137,Farmers' prioritization of climate-smart agriculture (CSA) technologies,article,0,Y,
139,"Transnational mobility, strong states and contested sovereignty: Learning from the China–Taiwan context",Article,139,"Transnational mobility, strong states and contested sovereignty: Learning from the China–Taiwan context",article,0,Y,
143,Globalization and inequality,Article,143,Globalization and inequality,article,0,Y,
161,"The Smuggling of Art, and the Art of Smuggling: Uncovering the Illicit Trade in Cultural Property and Antiques",Article,161,"The Smuggling of Art, and the Art of Smuggling: Uncovering the Illicit Trade in Cultural Property and Antiques",book,0,?,
161,The Medici Conspiracy the Illicit Journey of Looted Antiques from Italy's Tomb Raiders to the World's Greatest Museums,Ebook,161,The Medici conspiracy the illicit journey of looted antiques from Italy's tomb raiders to the world's greatest museums,book,0,Y,
171,From Human Trafficking to Human Rights: Reframing Contemporary Slavery,Print Book,119,From Human Trafficking to Human Rights: Reframing Contemporary Slavery,book,0,MM,
185,Racial Rioting in the 1960S: An Event History Analysis of Local Conditions,Article,183,Racial Rioting in the 1960S: An Event History Analysis of Local Conditions,article,0,MM,
91,"THE HOLOCAUST AS A PARADIGM FOR THE CONGO ATROCITIES: ADAM HOCHSCHILD'S ""KING LEOPOLD'S GHOST",Article,21,"THE HOLOCAUST AS A PARADIGM FOR THE CONGO ATROCITIES: ADAM HOCHSCHILD'S ""KING LEOPOLD'S GHOST""",article,0.011363636,MM,
161,"The Smuggling of Art, and the Art of Smuggling: Uncovering the Illicit Trade in Cultural Property and Antiques",Article,161,"The smuggling of art, and the art of smuggling : uncovering the illicit trade in cultural property and antiques",pbook,0.113207547,?,
45,Race for Empire: Koreans as Japanese and Japanese as Americans during World War II,Print Book,45,Race for empire : Koreans as Japanese and Japanese as Americans during World War II,book,0.166666667,Y,
99,"Causes, Consequences, and Impact of the Great Leap Forward in China",Article,99,"Causes, Consequences and Impact of the Great Leap Forward in China",article,0.194029851,Y,
171,From Human Trafficking to Human Rights: Reframing Contemporary Slavery,Print Book,119,From Human Trafficking to Human Rights : Reframing Contemporary Slavery.,book,0.197183099,MM,
137,"Sustainable Agriculture: Technology, Planning and Management",Ebook,137,"Sustainable agriculture technology, planning and management",book,0.216666667,?,
143,Globalization and inequality,Article,143,INTRODUCTION: Globalization and Inequality,book_chapter,0.388888889,?,
143,Globalization and inequality,Article,143,Globalisation and Inequality,article,0.482758621,N,
87,Venezuela: What Everyone Needs to Know,Print Book,2,Nuclear Energy: What Everyone Needs to Know,book,0.5,N,
143,Globalization and inequality,Article,143,Globalization and inequality: Channels and evidence,dissertation,0.511111111,N,
25,Climate Change and the Law,Article,165,Climate change and the developing world,article,0.527777778,N,
45,Race for Empire: Koreans as Japanese and Japanese as Americans during World War II,Print Book,45,"Right to Kill, Right to Make Live: Koreans as Japanese and Japanese as Americans During WWII",article,0.553398058,N,
37,Globalization and Poverty,Print Book,143,Globalization and inequality,article,0.586206897,N,
87,Venezuela: What Everyone Needs to Know,Print Book,109,The pornography industry : what everyone needs to know,pbook,0.596491228,,
7,The Industrial Revolution in the Anthropocene,Article,7,From the industrial revolution to Trump,article,0.615384615,,
59,The Industrial Revolution in the Anthropocene,Article,7,From the industrial revolution to Trump,article,0.615384615,,
8,Sex trafficking of women and girls,Article,109,Sex Trafficking of Minors,article,0.617647059,,
143,Globalization and inequality,Article,143,Globalization and Inequality: Explaining American Exceptionalism,article,0.620689655,,
145,"The Industrial Revolution in Europe, 1815-1914",Print Book,7,From the industrial revolution to Trump,article,0.622641509,,
171,From Human Trafficking to Human Rights: Reframing Contemporary Slavery,Print Book,8,Human Trafficking and Contemporary Slavery,article,0.625,,
25,"Place, Memory, and Climate Change",Article,59,The media and climate change,article,0.638888889,,
187,Globalization and its discontents,Print Book,143,Globalization and inequality,article,0.638888889,,
143,Globalization and inequality,Article,143,"Phases of Globalization, Wages and Inequality",article,0.644444444,,
143,Globalization and inequality,Article,143,GLOBALIZATION AND INEQUALITY: THE NEGATIVE CONSEQUENCES FOR HUMANITY,article,0.64516129,,
143,Globalization and inequality,Article,143,Is Globalization Reducing Poverty and Inequality?,article,0.645833333,,
143,Globalization and inequality,Article,143,WORLD INEQUALITY AND GLOBALIZATION,article,0.648648649,,
167,A History of Anti-Hispanic Bigotry in the United States,Newspaper Article,49,A History of Censorship in the United States,article,0.661538462,,
25,Climate Change and the Law,Article,165,"Climate change, public health, and the law",pbook,0.666666667,,
59,Energy and the English Industrial Revolution,Ebook,7,The de-industrial revolution,article,0.666666667,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,119,Human trafficking,pbook,0.666666667,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,119,Human trafficking,book,0.666666667,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,119,Human trafficking,book,0.666666667,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,119,Human Trafficking,book_chapter,0.666666667,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,8,Human trafficking,book,0.666666667,,
189,PURSUING ‘PEACE’ IN ISRAEL/PALESTINE,Article,189,Israel/Palestine,pbook,0.666666667,,
7,The Industrial Revolution in the Anthropocene,Article,7,The de-industrial revolution,article,0.673913043,,
59,The Industrial Revolution in the Anthropocene,Article,7,The de-industrial revolution,article,0.673913043,,
129,Occupying Power: Sex Workers and Servicemen in Postwar Japan,Ebook,19,Base Cultures: Sex Workers and Servicemen in Occupied Japan,article,0.679012346,,
59,Energy and the English Industrial Revolution,Ebook,7,Fourth Industrial Revolution and India,book_chapter,0.679245283,,
37,Globalization and Poverty,Print Book,9,Globalization Cycles,article,0.68,,
145,"The Industrial Revolution in Europe, 1815-1914",Print Book,7,The de-industrial revolution,article,0.680851064,,
209,The Kashmir Conflict,Article,209,The Kashmir Story,article,0.684210526,,
209,The Kashmir Conflict,Article,209,The Kashmir Story,article,0.684210526,,
7,The Industrial Revolution in the Anthropocene,Article,7,"Human and Nature Revisited: The Industrial Revolution, Modern Economics and the Anthropocene",book_chapter,0.684210526,,
59,The Industrial Revolution in the Anthropocene,Article,7,"Human and Nature Revisited: The Industrial Revolution, Modern Economics and the Anthropocene",book_chapter,0.684210526,,
7,The Industrial Revolution in the Anthropocene,Article,7,Fourth Industrial Revolution and India,book_chapter,0.685185185,,
59,The Industrial Revolution in the Anthropocene,Article,7,Fourth Industrial Revolution and India,book_chapter,0.685185185,,
145,"The Industrial Revolution in Europe, 1815-1914",Print Book,7,Fourth Industrial Revolution and India,book_chapter,0.690909091,,
117,Human trafficking into and within the United States: a review of the literature,Ebook,119,UNDERSTANDING HUMAN TRAFFICKING IN THE UNITED STATES,article,0.692307692,,
117,Human trafficking into and within the United States: a review of the literature,Ebook,8,UNDERSTANDING HUMAN TRAFFICKING IN THE UNITED STATES,article,0.692307692,,
117,Human trafficking into and within the United States: a review of the Literature,Ebook,119,UNDERSTANDING HUMAN TRAFFICKING IN THE UNITED STATES,article,0.692307692,,
117,Human trafficking into and within the United States: a review of the Literature,Ebook,8,UNDERSTANDING HUMAN TRAFFICKING IN THE UNITED STATES,article,0.692307692,,
