,Title,Results,Semester
1,"Taiwan: China’s Next Target, A History of Oppression",1455,F
2,Water is Life: Standing Rock and the Repercussions of the Native Experience,733,F
3,CLIMATE REFUGEES. THE NEXT GREAT MIGRATION,14487,F
4,The Dirty Truth About the Industrial Revolution,8314,F
5,Globalization as an influence to increased nationalist behaviors,15488,F
6,Brazil: Criminal Consequence From Systemic Corruptions,1392,F
7,Kashmir: A History of Oppression,4113,F
8,The Origins of East African Starvation,7730,F
9,The Success Yet Discrimination of Sex Workers in Japan,5585,F
10,King Leopold II and the Congolese,1842,F
11,Climate Change: The Fight of our Generation and its History,71385,F
12,Roots of Transnationalistic Terror: An Extremely Brief Summary,0,F
13,How the Spanish Flu has Impacted COVID-19,999,F
14,Great Leap Backward: Roots of Antibiotic Resistance in China,14,F
15,Inequality and Mortality Rate of Pregnant Women of Color in the Social Detriments of Health,81,F
16,"Too Many Mouths to Feed: Brazil, Amazon Deforestation, and Genetic Modification",12,F
17,The Continuous Inequality in America,74288,F
18,The Effect of Negative Public Opinion on Vaccine Development,24866,F
19,Europe’s Dictatorship Next Door: The Historical Factors That Enabled the Current Authoritarian Regime in Belarus,13,F
20,Japan and the United States post WWII,11173,F
21,Development of Insanity and Madness in China and Europe Since the 19th Century,326,F
22,Internet Moderation: Censorship in the Digital Age,825,F
23,Hiroshima and Nagasaki Health,16186,F
24,Fada Beo An Réabhlóid ‘Long Live the Revolution’,0,F
25,The Different Minds of a Nazi Guard,20494,F
26,The Evolution of Britain’s Climate Change Fight,8997,F
27,NIGERIAN ECONOMIC SUCCESS DUE TO OIL: A SABATOGED COUNTRY,0,F
28,U.S. Gun Control Compared to Other Countries,42669,F
29,Pushing Mental Illness Aside: The Effects of Stigma,581,F
30,How the Immigration Restriction Act of 1901 Benefits Australian Citizens National Identity through Prohibiting Immigration from Non-European Countries to Australia,14,F
31,American and Australian Gun Control,21721,F
32,The 1932 Olympics and the Beginning of Politics in Sport,1509,F
33,Prostitution in Mexico Between the 1900-1990s,2,F
34,Continual Crisis: The Venezuelan Oil Economy,192,F
35,Threads of Colonization,26418,F
36,Difficulty of Development in the Democratic Republic of the Congo,23908,F
37,Radio Communication Efforts in World War II,64940,F
38,Plant-breeding in the British Empire,658,F
39,"Causes, Effects, and Impacts of the Great Leap Forward in China’s Economy Today",5371,F
40,The Perpetually Negative Portrayal of Black Women in America’s Past and Present,777,F
41,Sexual Revolution: The History of Contraceptive Use in Britain and the United States,1321,F
42,The Doomed Crown: The People of France vs Marie Antoinette,10,F
43,The Issues regarding Human and Children Sex Trafficking in the United States,14330,F
44,The Ethnic Cleansing of the Spanish Moriscos,137,F
45,Colonial Medicine: India and the Philippines,5709,F
46,The Historical Roots of Humans in their Environment relating to Human Trafficking in the United States,1919,F
47,Human Trafficking in the U.S. and Britain,8444,F
48,Challenges of Birth Control in Canada Before 1980,5,F
49,Tumultuous Times and Prostitution Politics,1610,F
50,Japan’s Miracle Path to Reconstruction And How it Can Save Lives,424,F
51,Taiwan sovereignty issue,34757,F
52,The UAE rapid evolution and oil discovery,407,F
53,INEQUALITY AND GLOBALIZATION AND HUMANITIES,57118,F
54,How Major Global Events affect Homelessness,9568,F
55,The History of Black Death and the Signification Lessons,4841,F
56,Comfort Women: The Tragic Past and Present of the WWII Japanese Military Sex Slaves,67,F
57,"The blood, sweat, and suffrages that the Yaqui people endured",0,F
58,Echoes of the Past: Far-Right Extremism in the United States and Europe,549,F
59,Kashmir: Finding Hope in Hopelessness,134,F
60,Illicit Trading of Antiques,857,F
61,The Evolution of Police Brutality Around the World: Mid 20th Century to the Present,332,F
62,A History of Migration and Rejection,80256,F
63,Socioeconomic Inequality and the Fall of the Roman Republic,1417,F
64,Human Trafficking Becoming a Form of Contemporary Slavery,3595,F
65,The Conflict of the Holy Land; Israel vs. Palestine,3595,F
66,Virulent Pandemics,21550,F
67,Poland: A Falling Democracy,13182,F
68,"Bad Guys Wear Turbans: Examining 1,000 Years of Islamophobia in the West",1,F
69,"Sex Ed, Polarized",16457,F
70,The Historic Economic segregation of Black communities in the USA and its effects even to modern times,7717,F
71,Understanding the Causes of Race Riots in American History,27082,F
72,The Greenhouse Revolution: Our Need to Revolutionize the Green Revolution,613,F
73,Colonization of the Caribbean and Its Connection to Modern Day Racism,3366,F
74,The History of Fatherhood in America and Scandinavia: 1850-2020,0,F
75,The Evolution of Racism in America in Correlation with Britain from the 1900’s to the Present Day,136,F
76,"From the Plantation to the Penitentiary, How Racism and Presumptive Criminality Have Shaped the Black American Experience.",3,F
77,Indonesian Struggle for Independence under the Colonization of Dutch and Japanese Empire,442,F
78,The story of Kashmir,44766,F
79,Japanese “Economic Miracle” Post WWII,267,F
80,The Effect of World War II on Rohingya Genocide,367,F
81,Increased Black South African Crime During the Period of Apartheid,7819,F
82,"Human Trafficking (Prostitution), Is It A Problem or Not?",25299,F
83,Racial Housing Disparity by FHA and HUD,517,F
84,History of Nongovernmental Relief Organizations in Disaster Relief,6893,F
85,Transgressions of Historical Racist Immigration Policies Reborn,34,S
86,Contemporary Issues in Okinawa looking back the History,1539,S
87,The Global Effect of Black Tuesday,46521,S
88,Economy Over Morals: Britain’s War for Drugs,16296,S
89,The Cost of Revolution: How the Cultural Revolution Divided China,39182,S
90,Thought and the Greater Coalition: Drama and Democracy,5542,S
91,The Importance of Institutionalizing Intersectionality in Globalization,141,S
