Query,Results,Title,Type,CreateDate
Transgressions of Historical Racist Immigration Policies Reborn,34,Beur Cinema and the Politics of Location: French Immigration Politics and the Naming of a Film Movement,article,1999
Transgressions of Historical Racist Immigration Policies Reborn,34,Freedom's Freedom: American Enlightenment and Permanent War,article,2005
Transgressions of Historical Racist Immigration Policies Reborn,34,Re-Reading Birth of a Nation: European Contexts and the War Film,article,2019
Transgressions of Historical Racist Immigration Policies Reborn,34,‘Off-Centering’ in The Satanic Verses and the Book of Ezekiel: Postcolonial Response to Alienation,article,2014
Transgressions of Historical Racist Immigration Policies Reborn,34,Dancing with bigotry: The poisoning of racial and ethnic identities,article,1997
Transgressions of Historical Racist Immigration Policies Reborn,34,"""Wayward and Untrained Years"": Reforming the ""Wayward Girl"" in The Quest of the Silver Fleece and Jennie Gerhardt",article,2019
Transgressions of Historical Racist Immigration Policies Reborn,34,Tropics of whiteness: metaphor and the literary turn in white studies,article,2016
Transgressions of Historical Racist Immigration Policies Reborn,34,"INCEST TRAUMA AND SURVIVAL IN PATRICIA CHAO'S ""MONKEY KING""",article,2015
Transgressions of Historical Racist Immigration Policies Reborn,34,Introduction / Pr??sentation,article,2019
Transgressions of Historical Racist Immigration Policies Reborn,34,The Original Theft (and other treacherous religiosities),book_chapter,2011
Transgressions of Historical Racist Immigration Policies Reborn,34,Discourses of resilience in the US alt-right,article,2019
Transgressions of Historical Racist Immigration Policies Reborn,34,Beyond italian borders: Amara Lakhous and the Mediterranean alternative,article,2012
Transgressions of Historical Racist Immigration Policies Reborn,34,References,book_chapter,2019
Transgressions of Historical Racist Immigration Policies Reborn,34,Robert Penn Warren's The Legacy of the Civil War and the Meaning of Pragmatism,article,2007
Transgressions of Historical Racist Immigration Policies Reborn,34,"""White Man's Book No Good"": D. W. Griffith and the American Indian",article,2000
Transgressions of Historical Racist Immigration Policies Reborn,34,A New Central Europe or Past as Prologue?,book_chapter,2021
Transgressions of Historical Racist Immigration Policies Reborn,34,Stinky Bodies: Mythological Futures and the Olfactory Sense in Larissa Lai's Salt Fish Girl,article,2008
Transgressions of Historical Racist Immigration Policies Reborn,34,Internationalism at Work Bridge and Asian American Studies in Asia,book_chapter,2017
Transgressions of Historical Racist Immigration Policies Reborn,34,"ONE. The Office of Public Safety, the LEAA, and US Police",book_chapter,2020
Transgressions of Historical Racist Immigration Policies Reborn,34,‘It Was Stylish and “in” to Be Eastern’? Subversive Dress in Hanif Kureishi’s The Buddha of Suburbia,book_chapter,2017
Transgressions of Historical Racist Immigration Policies Reborn,34,"Green versus Green: Religions, Ethics, and the Bookchin-Foreman Dispute",article,2001
Transgressions of Historical Racist Immigration Policies Reborn,34,African American Studies,reference_entry,2010
Transgressions of Historical Racist Immigration Policies Reborn,34,"Two Nations, One Country?",book_chapter,2017
Transgressions of Historical Racist Immigration Policies Reborn,34,Landscape and city life: four ecologies of residence in the San Francisco Bay Area,article,1995
Transgressions of Historical Racist Immigration Policies Reborn,34,"'White-man's-book-no-good': D.W. Griffith and the American Indian (Film history, melodrama, racism)",article,2000
Transgressions of Historical Racist Immigration Policies Reborn,34,God and His Chosen People: Act II,book_chapter,2016
Transgressions of Historical Racist Immigration Policies Reborn,34,Imperfect Unions: Staging Miscegenation in U.S. Drama and Fiction,book_chapter,2012
Transgressions of Historical Racist Immigration Policies Reborn,34,Liberalism and Its Discontents: Reading Black and White in Contemporary Qu??b??cois Texts,article,1996
Transgressions of Historical Racist Immigration Policies Reborn,34,African American Studies,book_chapter,2010
Transgressions of Historical Racist Immigration Policies Reborn,34,"Incivilities in Civil(-ized) Places: ""Culture Wars"" in Comparative Perspective",reference_entry,2006
Transgressions of Historical Racist Immigration Policies Reborn,34,Faulkner and Whiteness,book_chapter,2011
Transgressions of Historical Racist Immigration Policies Reborn,34,Incivilities in Civil(‐ized) Places,book_chapter,2006
Transgressions of Historical Racist Immigration Policies Reborn,34,Book reviews,review,2004
Transgressions of Historical Racist Immigration Policies Reborn,34,"Cultural Resistance, Popular Music and Collectivist Organization in Salvador, Bahia in Brazil",book_chapter,2000
Contemporary Issues in Okinawa looking back the History,1539,An invisible minority? Return migration and ethnicity in Okinawa,article,2017
Contemporary Issues in Okinawa looking back the History,1539,Native historians write back : decolonizing American Indian history,pbook,2011
Contemporary Issues in Okinawa looking back the History,1539,Between War and Tropics: Heritage Tourism in Postwar Okinawa,article,2008
Contemporary Issues in Okinawa looking back the History,1539,The transnational redress movement for the victims of Japanese military sexual slavery,book,2020
Contemporary Issues in Okinawa looking back the History,1539,When the bough breaks : parental perceptions of ethical decision-making in NICU,pbook,2002
Contemporary Issues in Okinawa looking back the History,1539,Art & place : essays on art from a Hong Kong perspective,pbook,1996
Contemporary Issues in Okinawa looking back the History,1539,"Heritage Production in National and Global Cultural Policies: Folkloristics, Politics, and Cultural Economy in Ryukyuan/Okinawan Performance",article,2020
Contemporary Issues in Okinawa looking back the History,1539,Occupied Okinawa on the Edge: On Being Okinawan in Hawai'i and U.S. Colonialism toward Okinawa,article,2012
Contemporary Issues in Okinawa looking back the History,1539,"Planted Forest and Diverse Cultures in Ecological Village Planning: A Case Study in Tarama Island, Okinawa Prefecture, Japan",article,2013
Contemporary Issues in Okinawa looking back the History,1539,"Reminiscences of a journey to Okinawa: landscape film as essay, and Takamine G??'s Okinawan Dream Show (1974)",article,2021
Contemporary Issues in Okinawa looking back the History,1539,Visualizing (im)mobility in post-reversion Okinawa: a comparative study of NDU's Asia Is One (1973) and Chinen Seishin's The Human Pavilion (1976),article,2021
Contemporary Issues in Okinawa looking back the History,1539,Resurgents Create a Moral Landscape: Indigenous Resurgence and Everyday Practices of Farming in Okinawa,article,2020
Contemporary Issues in Okinawa looking back the History,1539,Cocco's musical intervention in the US base problems: traversing a realm of everyday cultural sensibilities in Okinawa,article,2011
Contemporary Issues in Okinawa looking back the History,1539,"From Hawai??i to Okinawa: Confronting Militarization, Healing Trauma, Strengthening Solidarity",article,2021
Contemporary Issues in Okinawa looking back the History,1539,Re-emerging voices and re-imagined landscapes: an interview with Chikako Yamashiro,article,2021
Contemporary Issues in Okinawa looking back the History,1539,Uchinaa Pop: Place and Identity in Contemporary Okinawan Popular Music,article,2001
Contemporary Issues in Okinawa looking back the History,1539,''A Score of Bloody Okinawas and Iwo Jimas'': President Truman and Casualty Estimates for the Invasion of Japan,article,2003
Contemporary Issues in Okinawa looking back the History,1539,Identity politics in Okinawan elections: the emergence of regional populism,article,2021
Contemporary Issues in Okinawa looking back the History,1539,Okinawa as an Intersection of Colonialisms: Toward Creating a Place Open to and Interconnecting with Asia,article,2013
Contemporary Issues in Okinawa looking back the History,1539,"The Compound State and the ""Double Project of Modernity"": A Review of the Twentieth Century East Asian History",article,2013
Contemporary Issues in Okinawa looking back the History,1539,Beyond the Blue Zones: Insights from the Okinawa Centenarian Study,reference_entry,2020
Contemporary Issues in Okinawa looking back the History,1539,"The Sacrifice Of A Schoolgirl: The 1995 Rape Case, Discourses of Power, and Women's Lives in Okinawa",article,2001
Contemporary Issues in Okinawa looking back the History,1539,Forming an ‘Activism Bubble’ in Tourism: Peace Guiding at Okinawa’s Battle Ruins,article,2012
Contemporary Issues in Okinawa looking back the History,1539,"Mired in history: Victimhood, memory, and ambivalence in Okinawa Prefecture, Japan",dissertation,2008
Contemporary Issues in Okinawa looking back the History,1539,Managing the US Base Issue in Okinawa: A Test for Japanese Democracy,article,2000
Contemporary Issues in Okinawa looking back the History,1539,"Advantage Through Crisis: Multiracial American Japanese in Post-World War II Japan, Okinawa and America 1945--1972",dissertation,2013
Contemporary Issues in Okinawa looking back the History,1539,The ties that bind: Representations of Okinawa and the US military in American popular culture,article,2011
Contemporary Issues in Okinawa looking back the History,1539,"Apparatuses of occupation: translocal social movements, states and the archipelagic spatialities of power",article,2017
Contemporary Issues in Okinawa looking back the History,1539,Landscape and the crisis of representation in Nakae Y??ji's Panari nite (1986),article,2021
Contemporary Issues in Okinawa looking back the History,1539,Between modernity and primitivity: Okinawan identity in relation to Japan and the South Pacific,article,2006
Contemporary Issues in Okinawa looking back the History,1539,Subaltern Identity in Okinawa,book_chapter,2020
Contemporary Issues in Okinawa looking back the History,1539,Military Bases in East Asia: The Case of Okinawa,book_chapter,2019
Contemporary Issues in Okinawa looking back the History,1539,The Hiroshima Panels Visualize Violence: Imagination over Life,article,2019
Contemporary Issues in Okinawa looking back the History,1539,The media representation of 'Okinawa' and US/Japan hegemony1,article,2003
Contemporary Issues in Okinawa looking back the History,1539,A Living Legacy: The Development of Modern Okinawan Poetry,article,2011
Contemporary Issues in Okinawa looking back the History,1539,"The Return to Okinawa: Capital, Networks, Mobility",book_chapter,2019
Contemporary Issues in Okinawa looking back the History,1539,"Articulations of Okinawan indigeneities, activism, and militourism: A study of interdependencies of U.S. and Japanese empires",dissertation,2011
Contemporary Issues in Okinawa looking back the History,1539,Japan's militarization and Okinawa's bases: making peace,article,2000
Contemporary Issues in Okinawa looking back the History,1539,The Presence of (Black) Liberation in Occupied Okinawa,book_chapter,2020
Contemporary Issues in Okinawa looking back the History,1539,What Asian American studies can learn from Asia?: towards a project of comparative minority studies,article,2012
Contemporary Issues in Okinawa looking back the History,1539,"Virtual discourses of history: Collage, narrative or documents in Chris Marker's level 5",article,2000
Contemporary Issues in Okinawa looking back the History,1539,"Singing Diaspora: Okinawan Songs of Home, Departure, and Return",article,2010
Contemporary Issues in Okinawa looking back the History,1539,Southern Japan during American Occupation Hiroshima and Okinawa,book_chapter,2017
Contemporary Issues in Okinawa looking back the History,1539,"Okinawan Literature: Between Memory, Resistance, and Contemporary Issues",reference_entry,2018
Contemporary Issues in Okinawa looking back the History,1539,"Postmodern, Feminist and Postcolonial Currents in Contemporary Japanese Culture: A Reading of Murakami Haruki, Yoshimoto Banana, Yoshimoto Takaaki and Karatani Kojin",book,2005
Contemporary Issues in Okinawa looking back the History,1539,Takamine Go: a possible Okinawan cinema 1,article,2006
Contemporary Issues in Okinawa looking back the History,1539,An Exchange on Current Affairs,article,2002
Contemporary Issues in Okinawa looking back the History,1539,Yaeyama: From Periphery of the Ry??ky??s to Frontier of Japan,article,2008
Contemporary Issues in Okinawa looking back the History,1539,(Re)-discovering Okinawan indigeneity: Articulation and activism,dissertation,2013
Contemporary Issues in Okinawa looking back the History,1539,"Japanese ethnographies of the Pacific: Language, politics and perspective",article,2019
The Global Effect of Black Tuesday,46521,"Weekly cycles of global fires-Associations with religion, wealth and culture, and insights into anthropogenic influences on global climate",article,2015
The Global Effect of Black Tuesday,46521,Predicting Vulnerabilities of North American Shorebirds to Climate Change,article,2014
The Global Effect of Black Tuesday,46521,"Capitalists, workers and health: Illness as a 'side-effect' of profit-making",article,2009
The Global Effect of Black Tuesday,46521,Organized Crime and Illicit Trade: How to Respond to This Strategic Challenge in Old and New Domains,book,2018
The Global Effect of Black Tuesday,46521,Distribution and health risks of aerosol black carbon in a representative city of the Qinghai-Tibet Plateau,article,2018
The Global Effect of Black Tuesday,46521,"Vitamin A supplementation every 6 months with retinol in 1 million pre-school children in north India: DEVTA, a cluster-randomised trial",article,2013
The Global Effect of Black Tuesday,46521,"Oil Price Volatility, the Global Financial Crisis, and the Day-of-the-Week Effect",article,2011
The Global Effect of Black Tuesday,46521,Water Level Fluctuations in the Congo Basin Derived from ENVISAT Satellite Altimetry,article,2014
The Global Effect of Black Tuesday,46521,El ??efecto d??a de la semana?? no tiene impacto en la aparici??n de complicaciones o mortalidad tras la resecci??n pulmonar: estudio de cohortes hist??rico,article,2021
The Global Effect of Black Tuesday,46521,An Ethnography of Emerging Latino Music Scenes,article,2009
The Global Effect of Black Tuesday,46521,"Effects of Web-Based Instruction on Math Anxiety, the Sense of Mastery, and Global Self-Esteem: A Quasi-Experimental Study of Undergraduate Statistics Students",article,2006
The Global Effect of Black Tuesday,46521,Photoacoustic insight for aerosol light absorption aloft from meteorological aircraft and comparison with particle soot absorption photometer measurements: DOE Southern Great Plains climate research facility and the coastal stratocumulus imposed perturbation experiments,article,2006
The Global Effect of Black Tuesday,46521,Drivers of Global Clear Sky Surface Downwelling Longwave Irradiance Trends From 1984 to 2017,article,2021
The Global Effect of Black Tuesday,46521,The ??weekday effect?? does not have an impact on the development of complications or mortality after pulmonary resection: Retrospective cohort study,article,2021
The Global Effect of Black Tuesday,46521,Asking questions of (what) assessment (should do) for learning: the case of bite-sized assessment for learning in Singapore,article,2016
The Global Effect of Black Tuesday,46521,Black-hole excision with multiple grid patches,article,2004
The Global Effect of Black Tuesday,46521,Trinidad Carnival: The Cultural Politics of a Transnational Festival,book,2007
The Global Effect of Black Tuesday,46521,Negative Outgroup Leader Actions Increase Liking for Ingroup Leaders: An Experimental Test of Intergroup Leader-Enhancement Effects,article,2008
The Global Effect of Black Tuesday,46521,News media and the racialization of protest: an analysis of Black Lives Matter articles,article,2017
The Global Effect of Black Tuesday,46521,Multi-region Modeling of Daily Global Solar Radiation with Artificial Intelligence Ensemble,article,2019
The Global Effect of Black Tuesday,46521,DNA hypomethylation in association with internal and external markers of traffic exposure in a panel of healthy adults,article,2018
The Global Effect of Black Tuesday,46521,The greenhouse effect: Multispecies childhood and non-innocent relations of care,article,2019
The Global Effect of Black Tuesday,46521,Observed changes and trends in heatwave characteristics in Turkey since 1950,article,2021
The Global Effect of Black Tuesday,46521,You Are the Real Terrorist and We Are Just Your Puppet: Using Individual and Group Factors to Explain Indonesian Muslims’ Attributions of Causes of Terrorism,article,2016
The Global Effect of Black Tuesday,46521,The Black Sea Physics Analysis and Forecasting System within the Framework of the Copernicus Marine Service,article,2022
The Global Effect of Black Tuesday,46521,Primates Living Outside Protected Habitats Are More Stressed: The Case of Black Howler Monkeys in the Yucatan Peninsula,article,2014
The Global Effect of Black Tuesday,46521,Population genetic analysis of a recent range expansion: mechanisms regulating the poleward range limit in the volcano barnacle Tetraclita rubescens,article,2010
The Global Effect of Black Tuesday,46521,"Synthesis of a 33‐yr series of whole‐lake experiments: Effects of nutrients, grazers, and precipitation‐driven water color on chlorophyll",article,2018
The Global Effect of Black Tuesday,46521,Environmental Suitability of Vibrio Infections in a Warming Climate: An Early Warning System,article,2017
The Global Effect of Black Tuesday,46521,‘ Any place could be home’: Embedding refugees’ voices into displacement resolution and state refugee policy,article,2012
The Global Effect of Black Tuesday,46521,"Earthquakes from 1820 to 1936 in Grahamstown and surroundings (Eastern Cape Province, South Africa)",article,2014
The Global Effect of Black Tuesday,46521,Day-of-the-week effect on the Tunisian stock market return and volatility,article,2016
The Global Effect of Black Tuesday,46521,Multivariate modelling of subjective and objective monitoring data improve the detection of non-contact injury risk in elite Australian footballers,article,2017
The Global Effect of Black Tuesday,46521,Nursing and Genetics: a feminist critique moves us towards transdisciplinary teams,article,2000
The Global Effect of Black Tuesday,46521,The Three Seas Initiative and its Economic and Geopolitical Effect on the European Union and Central and Eastern Europe,article,2019
The Global Effect of Black Tuesday,46521,Global patterns in predator—prey size relationships reveal size dependency of trophic transfer efficiency,article,2010
The Global Effect of Black Tuesday,46521,"The summer flounder chronicles III: struggling with success, 2011–2016",article,2017
The Global Effect of Black Tuesday,46521,Semistructured black-box prediction: proposed approach for asthma admissions in London,article,2012
