Query,Results,Title,Type,CreateDate
Transgressions of Historical Racist Immigration Policies Reborn,20,Hungarian Narrato-Rhetorheme in an American Novel: Harry Houdini in E. L. Doctorow's Ragtime,article,2021
Transgressions of Historical Racist Immigration Policies Reborn,20,Beur Cinema and the Politics of Location: French Immigration Politics and the Naming of a Film Movement,article,1999
Transgressions of Historical Racist Immigration Policies Reborn,20,Freedom's Freedom: American Enlightenment and Permanent War,article,2005
Transgressions of Historical Racist Immigration Policies Reborn,20,Re-Reading Birth of a Nation: European Contexts and the War Film,article,2019
Transgressions of Historical Racist Immigration Policies Reborn,20,‘Off-Centering’ in The Satanic Verses and the Book of Ezekiel: Postcolonial Response to Alienation,article,2014
Transgressions of Historical Racist Immigration Policies Reborn,20,Dancing with bigotry: The poisoning of racial and ethnic identities,article,1997
Transgressions of Historical Racist Immigration Policies Reborn,20,From cyberfascism to terrorism: On 4chan/pol/ culture and the transnational production of memetic violence,article,2022
Transgressions of Historical Racist Immigration Policies Reborn,20,"""Wayward and Untrained Years"": Reforming the ""Wayward Girl"" in The Quest of the Silver Fleece and Jennie Gerhardt",article,2019
Transgressions of Historical Racist Immigration Policies Reborn,20,"INCEST TRAUMA AND SURVIVAL IN PATRICIA CHAO'S ""MONKEY KING""",article,2015
Transgressions of Historical Racist Immigration Policies Reborn,20,Tropics of whiteness: metaphor and the literary turn in white studies,article,2016
Transgressions of Historical Racist Immigration Policies Reborn,20,Introduction / Pr??sentation,article,2019
Transgressions of Historical Racist Immigration Policies Reborn,20,Discourses of resilience in the US alt-right,article,2019
Transgressions of Historical Racist Immigration Policies Reborn,20,Beyond italian borders: Amara Lakhous and the Mediterranean alternative,article,2012
Transgressions of Historical Racist Immigration Policies Reborn,20,Robert Penn Warren's The Legacy of the Civil War and the Meaning of Pragmatism,article,2007
Transgressions of Historical Racist Immigration Policies Reborn,20,Liberalism and Its Discontents: Reading Black and White in Contemporary Qu??b??cois Texts,article,1996
Transgressions of Historical Racist Immigration Policies Reborn,20,Stinky Bodies: Mythological Futures and the Olfactory Sense in Larissa Lai's Salt Fish Girl,article,2008
Transgressions of Historical Racist Immigration Policies Reborn,20,"""White Man's Book No Good"": D. W. Griffith and the American Indian",article,2000
Transgressions of Historical Racist Immigration Policies Reborn,20,"Green versus Green: Religions, Ethics, and the Bookchin-Foreman Dispute",article,2001
Transgressions of Historical Racist Immigration Policies Reborn,20,Landscape and city life: four ecologies of residence in the San Francisco Bay Area,article,1995
Transgressions of Historical Racist Immigration Policies Reborn,20,"'White-man's-book-no-good': D.W. Griffith and the American Indian (Film history, melodrama, racism)",article,2000
Contemporary Issues in Okinawa looking back the History,872,Pop as Translation Strategy: Makishi Tsutomu's Political Pop in Okinawa,article,2018
Contemporary Issues in Okinawa looking back the History,872,An invisible minority? Return migration and ethnicity in Okinawa,article,2017
Contemporary Issues in Okinawa looking back the History,872,Between War and Tropics: Heritage Tourism in Postwar Okinawa,article,2008
Contemporary Issues in Okinawa looking back the History,872,"Heritage Production in National and Global Cultural Policies: Folkloristics, Politics, and Cultural Economy in Ryukyuan/Okinawan Performance",article,2020
