Query,Results,Title,Type,CreateDate
Transgressions of Historical Racist Immigration Policies Reborn,9,References,book_chapter,2019
Transgressions of Historical Racist Immigration Policies Reborn,9,A New Central Europe or Past as Prologue?,book_chapter,2021
Transgressions of Historical Racist Immigration Policies Reborn,9,Internationalism at Work Bridge and Asian American Studies in Asia,book_chapter,2017
Transgressions of Historical Racist Immigration Policies Reborn,9,"ONE. The Office of Public Safety, the LEAA, and US Police",book_chapter,2020
Transgressions of Historical Racist Immigration Policies Reborn,9,"Two Nations, One Country?",book_chapter,2017
Transgressions of Historical Racist Immigration Policies Reborn,9,‘It Was Stylish and “in” to Be Eastern’? Subversive Dress in Hanif Kureishi’s The Buddha of Suburbia,book_chapter,2017
Transgressions of Historical Racist Immigration Policies Reborn,9,God and His Chosen People: Act II,book_chapter,2016
Transgressions of Historical Racist Immigration Policies Reborn,9,African American Studies,book_chapter,2010
Transgressions of Historical Racist Immigration Policies Reborn,9,Incivilities in Civil(‐ized) Places,book_chapter,2006
Contemporary Issues in Okinawa looking back the History,288,Subaltern Identity in Okinawa,book_chapter,2020
Contemporary Issues in Okinawa looking back the History,288,Native historians write back : decolonizing American Indian history,pbook,2011
Contemporary Issues in Okinawa looking back the History,288,Military Bases in East Asia: The Case of Okinawa,book_chapter,2019
Contemporary Issues in Okinawa looking back the History,288,The transnational redress movement for the victims of Japanese military sexual slavery,book,2020
Contemporary Issues in Okinawa looking back the History,288,"The Return to Okinawa: Capital, Networks, Mobility",book_chapter,2019
Contemporary Issues in Okinawa looking back the History,288,The Presence of (Black) Liberation in Occupied Okinawa,book_chapter,2020
Contemporary Issues in Okinawa looking back the History,288,Southern Japan during American Occupation Hiroshima and Okinawa,book_chapter,2017
Contemporary Issues in Okinawa looking back the History,288,Behind the Barbed Wire Fence,book_chapter,2019
Contemporary Issues in Okinawa looking back the History,288,Curating the Contemporary in Decolonial Spaces,book_chapter,2019
Contemporary Issues in Okinawa looking back the History,288,Shared Reflections and Learnings from Betty Reardon—Action Planning Models: National and International Partnerships in Asia,book_chapter,2019
Contemporary Issues in Okinawa looking back the History,288,"The Letters: An Exchange on Patriarchy, Militarization and Feminist Peace Activism",book_chapter,2019
Contemporary Issues in Okinawa looking back the History,288,Identity in Contemporary Okinawan Poetry Ichihara Chikako’s Island-Mother,book_chapter,2017
Contemporary Issues in Okinawa looking back the History,288,The “Other” Mixed Race: The Nisei in Perspective,book_chapter,2019
Contemporary Issues in Okinawa looking back the History,288,"Devouring Hawai‘i: Food, Consumption, and Contemporary Art",book_chapter,2020
