Query,Results,Title,Type,CreateDate
Transgressions of Historical Racist Immigration Policies Reborn,33,Hungarian Narrato-Rhetorheme in an American Novel: Harry Houdini in E. L. Doctorow's Ragtime,article,2021
Transgressions of Historical Racist Immigration Policies Reborn,33,Beur Cinema and the Politics of Location: French Immigration Politics and the Naming of a Film Movement,article,1999
Transgressions of Historical Racist Immigration Policies Reborn,33,Freedom's Freedom: American Enlightenment and Permanent War,article,2005
Transgressions of Historical Racist Immigration Policies Reborn,33,Re-Reading Birth of a Nation: European Contexts and the War Film,article,2019
Transgressions of Historical Racist Immigration Policies Reborn,33,‘Off-Centering’ in The Satanic Verses and the Book of Ezekiel: Postcolonial Response to Alienation,article,2014
Transgressions of Historical Racist Immigration Policies Reborn,33,Dancing with bigotry: The poisoning of racial and ethnic identities,article,1997
Transgressions of Historical Racist Immigration Policies Reborn,33,From “Real Canada” to “Not Even a Real Country”: Canadian Identities as Produced through Comedy,dissertation,2010
Transgressions of Historical Racist Immigration Policies Reborn,33,From cyberfascism to terrorism: On 4chan/pol/ culture and the transnational production of memetic violence,article,2022
Transgressions of Historical Racist Immigration Policies Reborn,33,"""Wayward and Untrained Years"": Reforming the ""Wayward Girl"" in The Quest of the Silver Fleece and Jennie Gerhardt",article,2019
Transgressions of Historical Racist Immigration Policies Reborn,33,"INCEST TRAUMA AND SURVIVAL IN PATRICIA CHAO'S ""MONKEY KING""",article,2015
Transgressions of Historical Racist Immigration Policies Reborn,33,Tropics of whiteness: metaphor and the literary turn in white studies,article,2016
Transgressions of Historical Racist Immigration Policies Reborn,33,Introduction / Pr??sentation,article,2019
Transgressions of Historical Racist Immigration Policies Reborn,33,Discourses of resilience in the US alt-right,article,2019
Transgressions of Historical Racist Immigration Policies Reborn,33,Beyond italian borders: Amara Lakhous and the Mediterranean alternative,article,2012
Transgressions of Historical Racist Immigration Policies Reborn,33,"Film as a Mirror of Evolving Consciousness: The Politics of Representation, the Power of Social Media, and Shifting Landscapes",dissertation,2017
Transgressions of Historical Racist Immigration Policies Reborn,33,References,book_chapter,2019
Transgressions of Historical Racist Immigration Policies Reborn,33,Robert Penn Warren's The Legacy of the Civil War and the Meaning of Pragmatism,article,2007
Transgressions of Historical Racist Immigration Policies Reborn,33,Liberalism and Its Discontents: Reading Black and White in Contemporary Qu??b??cois Texts,article,1996
Transgressions of Historical Racist Immigration Policies Reborn,33,A New Central Europe or Past as Prologue?,book_chapter,2021
Transgressions of Historical Racist Immigration Policies Reborn,33,Stinky Bodies: Mythological Futures and the Olfactory Sense in Larissa Lai's Salt Fish Girl,article,2008
Transgressions of Historical Racist Immigration Policies Reborn,33,"""White Man's Book No Good"": D. W. Griffith and the American Indian",article,2000
