paper_number,paper_title,bib_citation,source_title,searchit_yes_no,searchit_format
363,The History of Cars and Pollution From 1886 to Present Day,"“Plug-in Hybrid Vehicles for a Sustainable Future.” American Scientist, May 1, 2019. https://www.americanscientist.org/article/plug-in-hybrid-vehicles-for-a-sustainable-future. ",Plug-in Hybrid Vehicles for a Sustainable Future,Yes,Article
363,The History of Cars and Pollution From 1886 to Present Day,"Wakefield, Ernest Henry. History of the Electric Automobile: Battery-Only Powered Cars. Warrendale, PA: Society of Automotive Engineers, 1994.",History of the Electric Automobile: Battery-Only Powered Cars,Yes,Print Book
365,The Decline of Agriculture in Ethiopia,"Marcus, Harold G. A History of Ethiopia. Updated ed. Berkeley: University of California Press, 2002.",A History of Ethiopia,Yes,Print Book
365,The Decline of Agriculture in Ethiopia,"POSTER, ALEXANDER. ""The Gentle War: Famine Relief, Politics, and Privatization in Ethiopia, 1983-1986."" Diplomatic History 36, no. 2 (2012): 399-425. Accessed February 8, 2021. http://www.jstor.org/stable/44376157.","The Gentle War: Famine Relief, Politics, and Privatization in Ethiopia, 1983-1986",Yes,Article
365,The Decline of Agriculture in Ethiopia,"Nyssen, Jan, Mitiku Haile, Jan Moeyersons, Jean Poesen, and Jozef Deckers. ""Environmental Policy in Ethiopia: A Rejoinder to Keeley and Scoones."" The Journal of Modern African Studies 42, no. 1 (2004): 137-47. Accessed February 8, 2021. http://www.jstor.org/stable/3876177.",Environmental Policy in Ethiopia: A Rejoinder to Keeley and Scoones,Yes,Article
369,le bon problème: Finding Balance in the Wine Industry,"Gaidos, Susan. “Grape Expectations: Climate change is already transforming the wine industry.” Science News 185 (2014): 20-24, JSTOR.",Grape Expectations: Climate change is already transforming the wine industry,Yes,Article
369,le bon problème: Finding Balance in the Wine Industry,"Hannah, Lee, Patrick R. Roehrdanz, Makihiko Ikegami, Anderson V. Shephard, M. Rebecca Shaw, Gary Tabor, Lu Zhi, Pablo A. Marquet and Robert J. Hijmans. “Climate change, wine, and conservation.” Proceedings of the National Academy of Sciences of the United States of America 110 (2013): 6907-6912, JSTOR.","Climate change, wine, and conservation",Yes,Article
369,le bon problème: Finding Balance in the Wine Industry,"Hayhoe, Katharine, Daniel Cayan, Christopher B. Field, Peter C. Frumhoff, Edwin P. Maurer, Norman L. Miller, Susanne C. Moser, Stephen H. Schneider, Kimberly Nicholas Cahill, Elsa E. Cleland, Larry Dale, Ray Drapek, R. Michael Hanemann, Laurence S. Kalkstein, James Lenihan, Claire K. Lunch, Ronald P. Nielson, Scott C. Sheridan and Julia H. Verville. “Emission Pathways, Climate Change, and Impacts on California.” Proceedings of the National Academy of Sciences of the United States of America 101 (2004):12422-12427, JSTOR.","Emission Pathways, Climate Change, and Impacts on California",Yes,Article
369,le bon problème: Finding Balance in the Wine Industry,"Jaspal, Rusi, and Brigitte Nerlich. “When Climate Science Became Climate Politics: British Media Representations of Climate Change in 1988.” Public Understanding of Science 23, no. 2 (2014): 122–141. https://doi.org/10.1177/0963662512440219 ",When Climate Science Became Climate Politics: British Media Representations of Climate Change in 1988.,Yes,Article
369,le bon problème: Finding Balance in the Wine Industry,"Kennison, Kristen R., Kerry L. Wilkinson, Hannah G. Williams, Jeanette H. Smith, and Mark R. Gibberd. “Smoke-derived Taint in Wine: Effect of Postharvest Smoke Exposure of Grapes on the Chemical Composition and Sensory Characteristics of Wine.” Journal of Agricultural and Food Chemistry 55 (2007): 10897-10901. https://doi.org/10.1021/jf072509k.",Smoke-derived Taint in Wine: Effect of Postharvest Smoke Exposure of Grapes on the Chemical Composition and Sensory Characteristics of Wine,Yes,Article
369,le bon problème: Finding Balance in the Wine Industry,"Labbe, Thomas, Christian Pfister, Stefan Brönnimann, Daniel Rousseau, Jörg Franke, and Benjamin Bois. “The Longest Homogeneous Series of Grape Harvest Dates, Beaune 1354–2018, and Its Significance for the Understanding of Past and Present Climate.” Climate of Change. (2019): 1485-1501. https://cp.copernicus.org/articles/15/1485/2019/ ","The Longest Homogeneous Series of Grape Harvest Dates, Beaune 1354–2018, and Its Significance for the Understanding of Past and Present Climate",Yes,Article
369,le bon problème: Finding Balance in the Wine Industry,"Noack, Rick. “French Vineyards Devastated by April Frost That Followed Unusually Warm March.” The Washington Post. April 26, 2021. https://www.washingtonpost.com/world/europe/french-wine-frost/2021/04/25/11d4bdac-a2d9-11eb-b314-2e993bd83e31_story.html ",French Vineyards Devastated by April Frost That Followed Unusually Warm March,Yes,Newspaper Article
369,le bon problème: Finding Balance in the Wine Industry,"Pincus, Robert. “Wine, Place, and Identity in a Changing Climate.” Gastronomica 3 (2003): 87-93, JSTOR.","Wine, Place, and Identity in a Changing Climate",Yes,Article
369,le bon problème: Finding Balance in the Wine Industry,"Tattersall, Ian and Rob Desalle. A Natural History of Wine. New Haven: Yale University Press, 2015.",A Natural History of Wine,Yes,Ebook
369,le bon problème: Finding Balance in the Wine Industry,"Wetter, Oliver, and Christian Pfister. “An Underestimated Record Breaking Event – Why Summer 1540 Was Likely Warmer than 2003.” Climate of Change. (2012): 41-56, JSTOR.",An Underestimated Record Breaking Event – Why Summer 1540 Was Likely Warmer than 2003,Yes,Article
371,The Effect of Globalization on Developing Cultures in the Mariana Islands,"De Frutos, David Atienza and De La Rosa, Alexandre Coello. Death Rituals and Identity in Contemporary Guam (Mariana Islands). Taylor & Francis, Ltd. The Journal of Pacific History 47, no. 4(2012): 459-473. Accessed February 26, 2021. https://www.jstor.org/stable/41999442",Death Rituals and Identity in Contemporary Guam (Mariana Islands),Yes,Article
371,The Effect of Globalization on Developing Cultures in the Mariana Islands,"Hezel, Francis X. From conquest to colonization: Spain in the Mariana Islands, 1690 to 1740. Northern Mariana Islands: Division of Historic Preservation, 2000. 2000. https://hdl.handle.net/2027/mdp.39015043722662 ","From conquest to colonization: Spain in the Mariana Islands, 1690 to 1740",Yes,Ebook
371,The Effect of Globalization on Developing Cultures in the Mariana Islands,"Pobutsky, Ann M. and Neri, Enrico I. “Cultural Integration and Separation: The Pre-historical and Historical Links between Guam and the Philippines, or Where Did All the Filipinos Go?”. University of San Carlos Publications. Philippine Quarterly of Culture and Society 42, no. 1/2(2014): 1-15. Accessed February 26, 2021. https://www.jstor.org/stable/44512009","Cultural Integration and Separation: The Pre-historical and Historical Links between Guam and the Philippines, or Where Did All the Filipinos Go?",Yes,Article
371,The Effect of Globalization on Developing Cultures in the Mariana Islands,"Rogers, Robert F. Destiny’s Landfall: A History of Guam. University of Hawai’I Press. 1995.",Destiny’s Landfall: A History of Guam,Yes,Ebook
373,Clitoridectomies on Acquiescent Women in Kenya from the 19th Century Through Today,"C. Marsh Beadnell. “Circumcision And Clitoridectomy As Practised By The Natives Of British East Africa.” British Medical Journal 1, no. 2313 (1905): 964–65.",Circumcision And Clitoridectomy As Practised By The Natives Of British East Africa.,Yes,Article
373,Clitoridectomies on Acquiescent Women in Kenya from the 19th Century Through Today,"Brown, Eleanor, Mwangi-Powell, Faith, Jerotich, Miriam, and le May, Victoria. “Female Genital Mutilation in Kenya: Are Young Men Allies in Social Change Programmes?” Reproductive Health Matters 24, no. 47 (2016): 118–25. https://doi.org/10.1016/j.rhm.2016.06.002.",Female Genital Mutilation in Kenya: Are Young Men Allies in Social Change Programmes?,Yes,Article
373,Clitoridectomies on Acquiescent Women in Kenya from the 19th Century Through Today,Robyn Dixon. “THE WORLD; California Surgeon Repairs Scarred Women; Trip to Kenya Aims to Improve Sexual Function of Those Hurt by Genital Mutilation.” The Los Angeles Times. 2017.,THE WORLD; California Surgeon Repairs Scarred Women; Trip to Kenya Aims to Improve Sexual Function of Those Hurt by Genital Mutilation.,Yes,Newspaper Article
373,Clitoridectomies on Acquiescent Women in Kenya from the 19th Century Through Today,"Merwine, Maynard H. ""How Africa Understands Female Circumcision."" New York Times (1923-Current File), Nov 24, 1993. https://ntserver1.wsulibs.wsu.edu:2152/historical-newspapers/how-africa-understands-female-cir cumcision/docview/109088988/se-2?accountid=14902.",How Africa Understands Female Circumcision,Yes,Newspaper Article
373,Clitoridectomies on Acquiescent Women in Kenya from the 19th Century Through Today,"Parpart, J. L. “African Womanhood in Colonial Kenya 1900-50, by Tabitha Kanogo.” African Affairs (London) 109, no. 435 (2010): 346–48. https://doi.org/10.1093/afraf/adq015.","African Womanhood in Colonial Kenya 1900-50, by Tabitha Kanogo",Yes,Article
373,Clitoridectomies on Acquiescent Women in Kenya from the 19th Century Through Today,"Lisa Wade. “DEFINING GENDERED OPPRESSION IN U.S. NEWSPAPERS: The Strategic Value of ""Female Genital Mutilation"".” Gender & Society 23, no. 3 (2009): 293–314. https://doi.org/10.1177/0891243209334938.","DEFINING GENDERED OPPRESSION IN U.S. NEWSPAPERS: The Strategic Value of ""Female Genital Mutilation",Yes,Article
375,Transatlantic Slave Trade: A Close Examination on Late 18th and 19th Century Haiti,"Archer, Léonie. “Haiti, Race, Slavery, and Independence (1804-1825).” Essay. In Slavery and Other Forms of Unfree Labour, 1st ed., 225–38. London, UK: Routledge, 1988. https://ntserver1.wsulibs.wsu.edu:2171/lib/wsu/reader.action?docID=166538. ","Haiti, Race, Slavery, and Independence (1804-1825)",Yes,Ebook Chapter
375,Transatlantic Slave Trade: A Close Examination on Late 18th and 19th Century Haiti,"Blackburn, Robin. “Haiti, Slavery, and the Age of the Democratic Revolution.” JStor. The William and Mary Quarterly, October 2006. https://www.jstor.org/stable/4491574. ","Haiti, Slavery, and the Age of the Democratic Revolution.",Yes,Article
375,Transatlantic Slave Trade: A Close Examination on Late 18th and 19th Century Haiti,"Lewis, Thomas. “Transatlantic Slave Trade.” Encyclopædia Britannica. Encyclopædia Britannica, inc., July 9, 2015. https://www.britannica.com/topic/transatlantic-slave-trade. ",Transatlantic Slave Trade.,Yes,Reference Entry
375,Transatlantic Slave Trade: A Close Examination on Late 18th and 19th Century Haiti,"Murray, Lorraine. “Haitian Revolution.” Encyclopædia Britannica. Encyclopædia Britannica, inc., April 1, 2016. https://www.britannica.com/topic/Haitian-Revolution. ",Haitian Revolution,Yes,Reference Entry
375,Transatlantic Slave Trade: A Close Examination on Late 18th and 19th Century Haiti,"Popkin, Jeremy D. A Concise History of the Haitian Revolution. 20. 1st ed. Vol. 20. West Sussex, UK: John Wiley & Sons, 2012. ", A Concise History of the Haitian Revolution,Yes,Ebook
375,Transatlantic Slave Trade: A Close Examination on Late 18th and 19th Century Haiti,"Squint, Kirsten L. “Vodou and Revolt in Literature of the Haitian Revolution.” JStor. College Language Association, December 2007. https://www.jstor.org/stable/44325417. ",Vodou and Revolt in Literature of the Haitian Revolution,Yes,Article
377,Rooted in Racism: Apartheid in South Africa,"Besteman, Catherine. Militarized Global Apartheid. Durham: Duke University Press, 2020.",Militarized Global Apartheid,Yes,Ebook
377,Rooted in Racism: Apartheid in South Africa,"Kuitenbrouwer, Vincent. War of Words Dutch Pro-Boer Propaganda and the South African War (1899 -1902). Amsterdam: Amsterdam University Press, 2012.",War of Words Dutch Pro-Boer Propaganda and the South African War (1899 -1902),Yes,Ebook
377,Rooted in Racism: Apartheid in South Africa,"Mullings, Leith. ""Interrogating Racism: Toward an Antiracist Anthropology."" Annual Review of Anthropology 34 (2005): 667-93. Accessed February 13, 2021. http://www.jstor.org/stable/25064903.",Interrogating Racism: Toward an Antiracist Anthropology,Yes,Article
