,titles,z_scores_new,
1,"Taiwan: China’s Next Target, A History of Oppression",-0.224016719,1455
2,Water is Life: Standing Rock and the Repercussions of the Native Experience,-0.224593708,733
3,CLIMATE REFUGEES. THE NEXT GREAT MIGRATION,-0.213602151,14487
4,The Dirty Truth About the Industrial Revolution,-0.218535326,8314
5,Globalization as an influence to increased nationalist behaviors,-0.212802198,15488
6,Brazil: Criminal Consequence From Systemic Corruptions,-0.224067066,1392
7,Kashmir: A History of Oppression,-0.221892569,4113
8,Birth Control Methods In Japan,-0.113824639,139341
9,The Origins of East African Starvation,-0.219002031,7730
10,The Success Yet Discrimination of Sex Workers in Japan,-0.220716216,5585
11,King Leopold II and the Congolese,-0.223707447,1842
12,Separation of Class on a global Scale Introduction,-0.102916993,152990
13,Climate Change: The Fight of our Generation and its History,-0.168131915,71385
14,Roots of Transnationalistic Terror: An Extremely Brief Summary,-0.225179488,0
15,How the Spanish Flu has Impacted COVID-19,-0.224381133,999
16,Great Leap Backward: Roots of Antibiotic Resistance in China,-0.2251683,14
17,Inequality and Mortality Rate of Pregnant Women of Color in the Social Detriments of Health,-0.225114756,81
18,"Too Many Mouths to Feed: Brazil, Amazon Deforestation, and Genetic Modification",-0.225169898,12
19,The Continuous Inequality in America,-0.165811972,74288
20,The Effect of Negative Public Opinion on Vaccine Development,-0.205307737,24866
21,Europe’s Dictatorship Next Door: The Historical Factors That Enabled the Current Authoritarian Regime in Belarus,-0.225169099,13
22,Japan and the United States post WWII,-0.216250546,11173
23,Development of Insanity and Madness in China and Europe Since the 19th Century,-0.224918964,326
24,Internet Moderation: Censorship in the Digital Age,-0.224520186,825
25,Hiroshima and Nagasaki Health,-0.212244389,16186
26,Fada Beo An Réabhlóid ‘Long Live the Revolution’,-0.225179488,0
27,The Different Minds of a Nazi Guard,-0.208801636,20494
28,The Evolution of Britain’s Climate Change Fight,-0.217989504,8997
29,NIGERIAN ECONOMIC SUCCESS DUE TO OIL: A SABATOGED COUNTRY,-0.225179488,0
30,U.S. Gun Control Compared to Other Countries,-0.191080407,42669
31,Pushing Mental Illness Aside: The Effects of Stigma,-0.22471518,581
32,How the Immigration Restriction Act of 1901 Benefits Australian Citizens National Identity through Prohibiting Immigration from Non-European Countries to Australia,-0.2251683,14
33,Water Systems,8.402705545,10796280
34,American and Australian Gun Control,-0.207821075,21721
35,The 1932 Olympics and the Beginning of Politics in Sport,-0.223973565,1509
36,Black South African Education and Black American Education,0.03876733,330283
37,The Progression of Disease Theories,-0.027792567,246995
38,Prostitution in Mexico Between the 1900-1990s,-0.22517789,2
39,Continual Crisis: The Venezuelan Oil Economy,-0.22502605,192
40,Threads of Colonization,-0.20406745,26418
41,Difficulty of Development in the Democratic Republic of the Congo,-0.206073326,23908
42,Radio Communication Efforts in World War II,-0.173282459,64940
43,Plant-breeding in the British Empire,-0.224653645,658
44,"Causes, Effects, and Impacts of the Great Leap Forward in China’s Economy Today",-0.220887234,5371
45,The Perpetually Negative Portrayal of Black Women in America’s Past and Present,-0.224558546,777
